date,market_ret,breadth,flag_rate,market_anomaly_flag
1986-11-28,-0.0148515339978058,0.0,0.0,0
1986-12-01,-0.0201003231370622,0.0,0.0,0
1986-12-02,0.0051279697687907,1.0,0.0,0
1986-12-03,-0.0076530871674134,0.0,0.0,0
1986-12-04,0.0128534684921142,1.0,0.0,0
1986-12-05,-0.0050761142112121,0.0,0.0,0
1986-12-08,-0.0102042299774227,0.0,0.0,0
1986-12-09,-0.0051546114506125,0.0,0.0,0
1986-12-10,0.0077721173332558,1.0,0.0,0
1986-12-11,0.0077121086068259,1.0,0.0,0
1986-12-12,-0.0357139517644398,0.0,0.0,0
1986-12-15,-0.026455295720032,0.0,0.0,0
1986-12-16,0.0108694316637276,1.0,0.0,0
1986-12-17,0.0107528451631149,1.0,0.0,0
1986-12-18,0.007978678552712,1.0,0.0,0
1986-12-19,0.0237464988204154,1.0,0.0,0
1986-12-22,0.0103094297697292,1.0,0.0,0
1986-12-23,0.0102041617248997,1.0,0.0,0
1986-12-24,-0.0025251708012015,0.0,0.0,0
1986-12-26,-0.0025318343678141,0.0,0.0,0
1986-12-29,-0.040608777877562,0.0,0.0,0
1986-12-30,0.0105814529525356,1.0,0.0,0
1986-12-31,0.010471288528943,1.0,0.0,0
1987-01-02,-0.0103627769020407,0.0,0.0,0
1987-01-05,0.0575919468306815,1.0,0.0,0
1987-01-06,0.0148512690969513,1.0,0.0,0
1987-01-07,0.0536588985178581,1.0,0.0,0
1987-01-08,0.0324070349502443,1.0,0.0,0
1987-01-09,0.0403592463634512,1.0,0.0,0
1987-01-12,0.064654792145522,1.0,0.0,0
1987-01-13,-0.0283400327320751,0.0,0.0,0
1987-01-14,0.0,0.0,0.0,0
1987-01-15,0.054166922139641,1.0,0.0,0
1987-01-16,-0.0237157000874456,0.0,0.0,0
1987-01-19,0.0364373706323155,1.0,0.0,0
1987-01-20,0.0156247027949552,1.0,0.0,0
1987-01-21,0.0423078775345731,1.0,0.0,0
1987-01-22,0.0996312352946287,1.0,0.0,0
1987-01-23,-0.0939600894657912,0.0,0.0,0
1987-01-26,0.0185185185185188,1.0,0.0,0
1987-01-27,0.0400000778327089,1.0,0.0,0
1987-01-28,0.0034965780739664,1.0,0.0,0
1987-01-29,-0.0418119896101145,0.0,0.0,0
1987-01-30,0.0636365095726931,1.0,0.0,0
1987-02-02,-0.0017095752679615,0.0,0.0,0
1987-02-03,-0.0171231050454235,0.0,0.0,0
1987-02-04,0.00348439461615,1.0,0.0,0
1987-02-05,-0.0069445915349449,0.0,0.0,0
1987-02-06,-0.0367132746108035,0.0,0.0,0
1987-02-09,-0.0090742636987496,0.0,0.0,0
1987-02-10,0.0036631792079444,1.0,0.0,0
1987-02-11,0.0474449821371432,1.0,0.0,0
